"establishment_id","establishment_name","minimum_inspections_peryear","lat","lon","score","Freq","type"
"10384250","MASHION BAKERY",2,43.655234,-79.3986886,94,392,"Bakery"
"10433279","BAKES & GOODS",2,43.7127109,-79.3994629,100,392,"Bakery"
"9006804","HAYMISHE BAGEL SHOP",2,43.718236,-79.4294938,100,392,"Bakery"
"9058772","ST PIO FINE BAKERY",2,43.7197869,-79.5083039,100,392,"Bakery"
"10385183","BAKERY GATEAU",2,43.754762,-79.3498841,100,392,"Bakery"
"10452585","BITE ME BAKERY INC.",2,43.6790957,-79.4384321,100,392,"Bakery"
"10363785","MORE THAN PIES BAKING CO. LTD.",2,43.5967995,-79.522615,100,392,"Bakery"
"10393718","NANTHA BAKERY",3,43.7965339,-79.3167447,94,392,"Bakery"
"9002495","CAROUSEL BAKERY",2,43.6490516,-79.3717741,100,392,"Bakery"
"9419357","COLUMBUS BAKERY",3,43.7092124,-79.4532097,98,392,"Bakery"
"9003452","COMMERCIAL BAKERIES",2,43.7220984,-79.522025,100,392,"Bakery"
"10245581","MR. PATTY BAKERY OUTLET & PASTRY SHOP",2,43.7658635,-79.1910852,100,392,"Bakery"
"9022480","QUALITY BREAD BAKERY",3,43.7789272,-79.2326756,70,392,"Bakery"
"9001906","BROADVIEW BAKERY & DELICATESSEN",2,43.6590975,-79.3491789,100,392,"Bakery"
"9021061","RUDOLPH'S BAKERIES",2,43.6778642,-79.4857043,100,392,"Bakery"
"9045993","SELECT BAKERY PATISSERIE",2,43.6940692,-79.342672,100,392,"Bakery"
"9000287","ACE BAKERY",2,43.7059983,-79.4707902,100,392,"Bakery"
"10297693","AYAM BAKERY & PIZZA",2,43.7415123,-79.2252345,100,392,"Bakery"
"9011739","PATTY KING",2,43.7739826,-79.2681373,100,392,"Bakery"
"10427699","CAKE ROLLS INC.",2,43.6325044,-79.5439589,100,392,"Bakery"
"10436435","H & A Bakery",2,43.8062248,-79.2892866,100,392,"Bakery"
"10359062","BUN KING BAKERY",2,43.7961078,-79.2270943,100,392,"Bakery"
"10193576","WHAT-A-BAGEL",2,43.7000006,-79.4295462,100,392,"Bakery"
"10324725","ABSOLUTE BAKERY",2,43.6675504,-79.3691607,100,392,"Bakery"
"10418893","JADORE CAKES CO.",2,43.693182,-79.2795385,100,392,"Bakery"
"10209465","LA BAMBOCHE",2,43.7026904,-79.3970423,100,392,"Bakery"
"10253793","SEARA BAKERY & PASTRY",2,43.6816782,-79.4733643,99,392,"Bakery"
"9390719","DUFFERIN GROVE PARK - ZAMBONI KITCHEN",2,43.6561331,-79.4338199,78,392,"Bakery"
"10282501","CAKE HOUSE BAKERY",2,43.7509726,-79.2762254,37,392,"Bakery"
"9000513","ALLAN'S PASTRY SHOP",2,43.7861967,-79.3515713,100,392,"Bakery"
"10365903","AARUSHA CAKE HOUSE",2,43.8098335,-79.257327,100,392,"Bakery"
"10248830","LOLLICAKES",2,43.703111,-79.3878475,100,392,"Bakery"
"9002256","CAKEWOOD BAKERY & CAFE",2,43.8088942,-79.2698542,100,392,"Bakery"
"10351465","MAD BATTER BAKERS",2,43.6396997,-79.4219988,100,392,"Bakery"
"9013813","SESAME PASTRY & DELI",2,43.6019729,-79.4998987,97,392,"Bakery"
"9392256","PRAIA DE MIRA BAKERY",2,43.676787,-79.4489971,100,392,"Bakery"
"10196874","LA ROSA'S BAKERY DELI & SNACKS",2,43.6540582,-79.4017098,60,392,"Bakery"
"10404606","DESMOND & BEATRICE INC.",2,43.6593462,-79.3481634,100,392,"Bakery"
"10400891","BRICK STREET BAKERY",2,43.6493334,-79.3824714,100,392,"Bakery"
"9399486","SIGNATURE BAKERY",2,43.7702442,-79.479839,100,392,"Bakery"
"9012062","CANADA BREAD",2,43.7801943,-79.276135,100,392,"Bakery"
"9395795","NAPOLEON BAKERY",2,43.7669992,-79.4758247,100,392,"Bakery"
"9000319","ADDIS GROCERY",2,43.6877101,-79.4388026,100,392,"Bakery"
